Word,TSL Rank,SFI,U
separately,626,52.28,16.92
turnover,627,52.28,16.92
unnecessary,628,52.28,16.92
accordingly,629,52.09,16.18
apple,630,52.09,16.18
applicable,631,52.09,16.18
auction,632,52.09,16.18
balcony,633,52.09,16.18
basement,634,52.09,16.18
beforehand,635,52.09,16.18
culinary,636,52.09,16.18
documentary,637,52.09,16.18
downturn,638,52.09,16.18
earthquake,639,52.09,16.18
elegant,640,52.09,16.18
excessive,641,52.09,16.18
generic,642,52.09,16.18
jazz,643,52.09,16.18
lifetime,644,52.09,16.18
massage,645,52.09,16.18
maximize,646,52.09,16.18
mild,647,52.09,16.18
ongoing,648,52.09,16.18
periodically,649,52.09,16.18
pie,650,52.09,16.18
plug,651,52.09,16.18
recruitment,652,52.09,16.18
referee,653,52.09,16.18
referral,654,52.09,16.18
renown,655,52.09,16.18
runner,656,52.09,16.18
sock,657,52.09,16.18
spam,658,52.09,16.18
surf,659,52.09,16.18
timetable,660,52.09,16.18
vase,661,52.09,16.18
aboard,662,51.89,15.44
advancement,663,51.89,15.44
advertiser,664,51.89,15.44
alternatively,665,52.09,16.18
amuse,666,51.89,15.44
attorney,667,51.89,15.44
authorization,668,51.89,15.44
campus,669,51.89,15.44
candy,670,51.89,15.44
certify,671,51.89,15.44
checkout,672,51.89,15.44
chemistry,673,51.89,15.44
circulation,674,51.89,15.44
concierge,675,51.89,15.44
consent,676,51.89,15.44
consistently,677,51.89,15.44
cookie,678,51.89,15.44
deck,679,51.89,15.44
descriptive,680,51.89,15.44
detach,681,51.89,15.44
documentation,682,51.89,15.44
entrepreneur,683,51.89,15.44
exceptional,684,51.89,15.44
familiarize,685,51.89,15.44
hotline,686,51.89,15.44
intonation,687,51.89,15.44
invention,688,51.89,15.44
irritate,689,51.89,15.44
locker,690,51.89,15.44
overlook,691,51.89,15.44
patent,692,52.09,16.18
payable,693,51.89,15.44
preliminary,694,51.89,15.44
salesman,695,51.89,15.44
sauna,696,51.89,15.44
smoothly,697,51.89,15.44
sunshine,698,51.89,15.44
tow,699,51.89,15.44
translator,700,51.89,15.44
tuition,701,51.89,15.44
unavailable,702,51.89,15.44
violation,703,51.89,15.44
webpage,704,51.89,15.44
acceptance,705,51.68,14.71
allocate,706,51.68,14.71
ambitious,707,51.68,14.71
appendix,708,51.68,14.71
booth,709,51.68,14.71
clarify,710,51.68,14.71
classmate,711,51.68,14.71
compile,712,51.68,14.71
correction,713,51.68,14.71
customize,714,51.68,14.71
dedication,715,51.68,14.71
diagnose,716,51.68,14.71
discontinue,717,51.68,14.71
dishwasher,718,51.68,14.71
drought,719,51.68,14.71
economize,720,51.68,14.71
entrée,721,51.68,14.71
firework,722,51.68,14.71
freight,723,51.68,14.71
fry,724,51.68,14.71
gallon,725,51.68,14.71
gardener,726,51.68,14.71
ideally,727,51.68,14.71
inclusive,728,51.68,14.71
insufficient,729,51.68,14.71
introductory,730,51.68,14.71
junk,731,51.68,14.71
ma'am,732,#N/A,#N/A
mileage,733,51.68,14.71
noisy,734,51.68,14.71
pan,735,51.89,15.44
parcel,736,51.68,14.71
pasta,737,51.68,14.71
periodical,738,51.68,14.71
pill,739,51.68,14.71
portable,740,51.68,14.71
punctual,741,51.68,14.71
recreation,742,51.68,14.71
relieve,743,51.68,14.71
reminder,744,51.68,14.71
rumor,745,51.68,14.71
scarf,746,51.68,14.71
seaside,747,51.68,14.71
shorten,748,51.68,14.71
specially,749,51.68,14.71
spill,750,51.68,14.71
spouse,751,51.68,14.71
subtract,752,51.68,14.71
tablet,753,51.68,14.71
ton,754,51.68,14.71
vend,755,51.68,14.71
yoga,756,51.68,14.71
accent,757,51.45,13.97
advisory,758,51.45,13.97
asleep,759,51.45,13.97
authentic,760,51.45,13.97
bakery,761,51.45,13.97
carton,762,51.45,13.97
compartment,763,51.45,13.97
compatible,764,51.45,13.97
consumption,765,51.45,13.97
conveniently,766,51.45,13.97
cosmetic,767,51.45,13.97
courtesy,768,51.45,13.97
creativity,769,51.45,13.97
criteria,770,51.45,13.97
disagreement,771,51.45,13.97
disappointment,772,51.45,13.97
dissatisfy,773,51.45,13.97
enjoyable,774,51.45,13.97
faculty,775,51.45,13.97
favorable,776,51.45,13.97
foreman,777,51.45,13.97
forum,778,51.45,13.97
founder,779,51.45,13.97
fundraise,780,51.45,13.97
graphics,781,51.45,13.97
handy,782,51.45,13.97
hazardous,783,51.45,13.97
healthcare,784,51.45,13.97
